1,,,
2,University of Oklahoma,2013,2017
2,University of Virginia,1968,1972
3,University of Texas at Austin,2005,2008
4,University at Buffalo SUNY,1960,1964
5,Wake Forest University,2005,2009
5,Stanford University,1996,1999
6,,,
7,,,
8,"University of California, Los Angeles (UCLA)",1978,1981
9,,,
10,"University of California, Los Angeles (UCLA)",1982,1986
11,,,
12,"University of California, Irvine",1991,1995
12,University of Vermont,2007,2010
12,Dartmouth College,1978,1981
13,University of Pittsburgh,2008,2012
13,Vanderbilt University,2002,2006
14,University of Texas at Austin,1977,1980
15,,,
16,,,
17,,,
18,,,
19,University of Notre Dame,1966,1969
19,Indiana University Bloomington,1976,1979
20,University of South Florida,2004,2007
21,Georgia Institute of Technology,2005,2008
21,Arizona State University,1965,1969
22,,,
23,University of Florida,2011,2015
23,"The University of Tennessee, Knoxville",1968,1972
24,University of Rochester,1978,1981
24,University of Florida,1992,1995
24,Case Western Reserve University,2002,2006
25,,,
26,Clark University,1989,1993
27,University of Minnesota,1992,1995
27,Brown University,1994,1998
27,"The University of Tennessee, Knoxville",1982,1986
28,,,
29,University of Chicago,1985,1988
29,Harvard University,1989,1992
30,,,
31,,,
32,,,
33,University of Colorado Boulder,2015,2019
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,Oregon State University,2008,2011
40,University of Texas Dallas,1969,1973
40,"University of California, Berkeley (UCB)",1984,1987
41,,,
42,University of Miami,1992,1996
42,Harvard University,2002,2005
43,"The University of Tennessee, Knoxville",2000,2004
43,Georgia Institute of Technology,1993,1996
43,"University of Maryland, Baltimore County",1992,1996
44,"University of California, Irvine",1982,1986
45,University of Iowa,1994,1998
45,University of Chicago,1963,1966
46,"University of California, Davis",2001,2004
46,"University of Maryland, Baltimore County",2013,2017
46,Vanderbilt University,1985,1988
47,,,
48,,,
49,Brandeis University,1966,1970
50,University of Pennsylvania,1974,1977
50,University of Texas at Austin,1981,1985
51,University of New Mexico,1979,1982
51,"University of Maryland, College Park",2013,2017
52,,,
53,Oregon State University,1961,1964
53,Iowa State University,1964,1967
53,Washington State University,1961,1964
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,"The University of Tennessee, Knoxville",2003,2006
61,,,
62,Rutgers University - New Brunswick,1984,1987
63,,,
64,University of Colorado Boulder,1987,1990
64,University at Buffalo SUNY,2006,2009
64,Washington University in St. Louis,1961,1965
65,,,
66,University of Massachusetts Amherst,1994,1998
67,Wake Forest University,2011,2014
68,,,
69,,,
70,,,
71,The University of Arizona,1984,1988
72,,,
73,Boston College,1988,1991
73,University of Texas at Austin,1961,1965
74,,,
75,Georgetown University,1990,1994
76,University of New Mexico,1999,2003
76,New York University,2004,2008
76,"University of California, Irvine",2002,2006
77,Princeton University,1992,1995
77,Brandeis University,1984,1987
78,,,
79,University of Utah,2006,2009
79,"University of Illinois, Chicago (UIC)",1997,2000
80,,,
81,,,
82,,,
83,University at Buffalo SUNY,1963,1966
83,Case Western Reserve University,2008,2012
83,Rutgers University - New Brunswick,2018,2022
84,University of New Mexico,1961,1965
84,University of Colorado Boulder,1976,1979
84,Boston College,1968,1972
85,,,
86,Princeton University,2010,2013
86,"University of California, Santa Cruz",1968,1971
87,,,
88,University of Kansas,1983,1986
