1,AECOM,1995,1998
2,,,
3,21st Century Fox,1997,2012
3,Apple Inc.,2001,2016
3,Metro Cash&Carry,1960,1964
4,Telekom,1984,1987
4,ExxonMobil,1977,1984
4,Carrefour,2008,present
5,21st Century Fox,1971,1986
6,,,
7,,,
8,Carrefour,2019,present
8,Global Print,1982,1997
8,Comodo,1978,1993
9,Zepter,1989,1993
9,BuzzFeed,1961,1964
9,ENEL,2020,present
10,,,
11,,,
12,21st Century Fox,2006,2013
12,BuzzFeed,2012,present
13,Boeing,1989,2004
14,,,
15,,,
16,AECOM,1978,1985
16,Boeing,1971,1986
17,,,
18,,,
19,Boeing,1978,1981
20,ENEL,2019,present
21,,,
22,BuzzFeed,2012,present
23,Zepter,1981,1985
23,Comcast,1992,1995
23,ExxonMobil,2010,2017
24,,,
25,,,
26,Comodo,1983,1990
26,It Smart Group,1984,1999
27,,,
28,Danone,1996,2000
28,UPC,1966,1969
28,Facebook,1986,1993
29,,,
30,,,
31,,,
32,,,
33,Global Print,1991,1998
33,Facebook,2003,2018
34,DynCorp,1968,1983
35,,,
36,Areon Impex,1986,1989
36,It Smart Group,1962,1969
37,Comcast,2009,present
37,Telekom,1965,1968
37,DynCorp,1995,2002
38,,,
39,Coca-Cola Company,2013,present
39,Boeing,2007,2011
40,BuzzFeed,1997,2000
41,Comcast,1989,1996
41,ENEL,2016,present
42,,,
43,,,
44,Comodo,2003,2006
44,Coca-Cola Company,1989,1996
45,,,
46,,,
47,Vodafone,1990,1994
48,ENEL,1965,1968
49,,,
50,,,
51,21st Century Fox,1966,1969
51,DynCorp,2009,2016
52,Vodafone,1986,2001
52,Team Guard SRL,2003,2018
52,Demaco,2001,2005
53,Biolife Grup,2012,2015
53,Comodo,1967,1974
54,,,
55,DynCorp,2006,present
56,,,
57,Telekom,2018,present
57,AECOM,2011,2018
57,CarMax,1986,2001
58,,,
59,,,
60,,,
61,,,
62,Biolife Grup,2012,present
62,Demaco,1993,1996
62,Areon Impex,2016,present
63,,,
64,,,
65,Mars,1989,1993
65,Metro Cash&Carry,1960,1963
66,Coca-Cola Company,2011,2018
66,Comcast,1969,1984
66,BuzzFeed,1983,1998
67,,,
68,,,
69,Areon Impex,2008,2015
69,Erickson,1960,1975
70,,,
71,,,
72,Boeing,2017,present
72,21st Century Fox,2004,2011
72,Coca-Cola Company,1971,1986
73,AECOM,1968,1971
73,Coca-Cola Company,1988,1995
73,Areon Impex,2016,present
74,Comodo,1960,1975
75,Metro Cash&Carry,2010,2014
75,Facebook,1978,1981
76,,,
77,,,
78,,,
79,Apple Inc.,1972,1976
80,Demaco,1988,1991
80,Biolife Grup,2015,present
81,,,
82,Amazon.com,1990,2005
82,Erickson,2011,2015
83,,,
84,Global Print,1962,1969
85,,,
86,UPC,1982,1985
86,Zepter,1962,1969
86,Carrefour,1962,1977
87,,,
88,Mars,1965,1969
88,It Smart Group,1975,1978
88,UPC,1990,1997
89,BuzzFeed,2005,present
89,Facebook,1975,1990
90,Team Guard SRL,2019,present
90,Metro Cash&Carry,1987,1990
90,21st Century Fox,1971,1978
91,Areon Impex,2009,present
91,Telekom,1996,2011
91,Comodo,1991,1995
92,,,
93,Coca-Cola Company,1978,1985
94,,,
95,,,
96,Telekom,2007,2014
96,Erickson,1985,2000
97,AECOM,2008,present
98,,,
99,Areon Impex,1975,1978
100,CarMax,2000,2007
100,Team Guard SRL,1970,1985
101,Carrefour,2003,2018
102,,,
103,,,
104,,,
105,,,
106,,,
107,Biolife Grup,1972,1976
108,Danone,1978,1981
109,Mars,1984,1991
110,,,
111,,,
112,Vodafone,1972,1979
113,DynCorp,1973,1988
113,Biolife Grup,1997,2012
113,Comodo,2017,present
114,,,
115,,,
116,CarMax,1962,1977
117,Facebook,2008,present
117,Biolife Grup,2011,2015
118,UPC,1990,1993
119,Amazon.com,2018,present
119,Global Print,2002,2017
119,Erickson,2000,2015
120,,,
121,It Smart Group,1964,1967
122,ExxonMobil,1982,1989
122,DynCorp,1961,1976
123,,,
124,,,
125,,,
126,CarMax,2013,present
127,,,
128,,,
129,Demaco,1995,2002
129,DynCorp,2019,present
129,Carrefour,2019,present
130,,,
131,,,
132,ExxonMobil,1982,1989
132,CarMax,1960,1975
133,Metro Cash&Carry,1981,1996
134,Comcast,1977,1981
135,,,
136,Telekom,1965,1972
137,Zepter,2015,present
138,,,
139,21st Century Fox,1985,1992
139,Danone,1983,1998
140,,,
141,CarMax,2018,present
141,Comcast,1970,1973
141,Global Print,1996,2003
142,Erickson,1989,2004
143,,,
144,Telekom,1991,1995
145,,,
146,,,
147,ENEL,2020,present
148,Telekom,1962,1977
148,Comcast,1989,1993
149,,,
150,,,
151,Global Print,1969,1984
151,Comodo,1965,1968
152,It Smart Group,1982,1989
153,ENEL,1999,2014
154,Leadertech Consulting,2016,present
155,Apple Inc.,2005,2009
155,It Smart Group,1994,1997
156,,,
157,,,
158,,,
159,,,
160,Danone,1963,1966
160,Zepter,1984,1991
160,Erickson,1965,1980
161,,,
162,Team Guard SRL,1990,1994
162,Zepter,2000,2003
163,,,
164,Danone,1981,1996
165,,,
166,,,
167,Areon Impex,1997,2012
167,Metro Cash&Carry,1962,1977
167,Apple Inc.,1970,1974
168,CarMax,1973,1976
169,,,
170,DynCorp,2010,present
170,Danone,2011,present
170,Apple Inc.,2000,2004
171,,,
172,,,
173,Boeing,1969,1984
174,,,
175,Team Guard SRL,1963,1967
175,Amazon.com,1964,1967
176,,,
177,,,
178,DynCorp,1992,1995
179,Boeing,2017,present
180,,,
181,Zepter,2005,present
181,Vodafone,2017,present
182,,,
183,Team Guard SRL,2019,present
184,,,
185,,,
186,,,
187,Biolife Grup,1970,1973
187,Telekom,1966,1973
187,Boeing,1972,1987
188,,,
189,UPC,2009,2013
190,Metro Cash&Carry,1987,1990
190,AECOM,1990,1997
191,Areon Impex,1965,1980
192,AECOM,2002,2005
193,Facebook,1966,1973
194,Biolife Grup,1990,2005
194,21st Century Fox,2011,present
194,Telekom,1993,1997
195,21st Century Fox,1997,2000
196,,,
197,Global Print,2015,present
198,,,
199,,,
200,,,
201,,,
202,Amazon.com,1984,1999
202,Comcast,1982,1997
202,Comodo,1975,1979
203,,,
204,,,
205,,,
206,Metro Cash&Carry,2009,2012
206,Boeing,1994,2001
207,,,
208,ENEL,1962,1977
208,BuzzFeed,1968,1972
209,,,
210,,,
211,Areon Impex,1973,1988
211,Telekom,1991,2006
212,,,
213,Biolife Grup,2017,present
213,Leadertech Consulting,1987,1994
214,,,
215,,,
216,,,
217,Comodo,1990,1993
218,,,
219,ENEL,1980,1995
219,BuzzFeed,2008,2011
220,,,
221,,,
222,,,
223,,,
224,Danone,2020,present
225,,,
226,Erickson,2018,present
227,,,
228,,,
229,,,
230,,,
231,Demaco,1963,1978
231,DynCorp,1981,1996
231,It Smart Group,1969,1973
232,,,
233,,,
234,Areon Impex,2000,2015
234,AECOM,1987,1990
235,,,
236,Carrefour,1978,1993
236,UPC,1993,2008
237,Zepter,1993,1997
238,,,
239,Erickson,2020,present
240,Biolife Grup,1993,2008
241,Coca-Cola Company,1969,1984
242,,,
243,BuzzFeed,2005,2008
243,Facebook,2015,present
244,,,
245,Comcast,2012,present
246,Demaco,1972,1976
247,,,
248,UPC,1981,1988
248,Carrefour,1991,2006
249,,,
250,,,
251,,,
252,Demaco,2011,present
252,21st Century Fox,1998,2002
252,AECOM,1976,1979
253,,,
254,,,
255,,,
256,,,
257,,,
258,Mars,1975,1982
259,,,
260,,,
261,ENEL,2018,present
262,Boeing,1976,1979
263,,,
264,,,
265,,,
266,ExxonMobil,1997,2004
266,Global Print,1985,2000
266,Telekom,1986,2001
267,,,
268,,,
269,Coca-Cola Company,1972,1979
270,Vodafone,2004,present
271,,,
272,Areon Impex,1972,1976
272,Apple Inc.,1962,1965
273,Carrefour,1993,2000
274,,,
275,Metro Cash&Carry,1988,2003
275,Apple Inc.,1976,1980
276,,,
277,Coca-Cola Company,1995,2002
278,,,
279,Metro Cash&Carry,1978,1981
280,,,
281,UPC,2018,present
282,Global Print,1971,1986
282,Mars,1988,1992
282,Boeing,2019,present
283,Amazon.com,1963,1970
283,Apple Inc.,2016,present
283,Danone,1972,1987
284,21st Century Fox,1976,1980
284,Metro Cash&Carry,1967,1970
285,Coca-Cola Company,2020,present
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,Global Print,2011,present
295,,,
296,21st Century Fox,1967,1971
296,Coca-Cola Company,2012,2015
296,Carrefour,1961,1968
297,CarMax,1989,2004
297,BuzzFeed,1975,1990
297,Biolife Grup,1969,1973
298,,,
299,,,
300,,,
301,,,
302,Biolife Grup,2007,2011
303,,,
304,Demaco,1971,1978
304,It Smart Group,2006,present
305,,,
306,Areon Impex,1960,1967
307,,,
308,Comcast,1961,1976
309,Facebook,1993,1997
309,Boeing,1962,1965
310,Comodo,1966,1973
310,21st Century Fox,1982,1997
311,,,
312,,,
313,Mars,1983,1986
313,Areon Impex,1975,1982
314,AECOM,2014,present
314,Areon Impex,1960,1975
315,UPC,1971,1975
316,,,
317,Erickson,1975,1982
317,Apple Inc.,2018,present
318,,,
319,,,
320,,,
321,Team Guard SRL,2020,present
321,CarMax,1983,1987
322,ExxonMobil,2020,present
322,DynCorp,1988,1995
322,Metro Cash&Carry,2007,present
323,Biolife Grup,2014,present
324,Comcast,1995,1999
325,,,
326,Apple Inc.,1994,2001
327,Biolife Grup,1969,1984
328,Apple Inc.,1967,1982
328,Global Print,1964,1968
328,Comcast,2002,2005
329,Mars,1982,1989
329,Team Guard SRL,1971,1986
330,BuzzFeed,1962,1965
331,,,
332,Apple Inc.,2012,present
333,Vodafone,1994,2009
334,ENEL,2012,2016
334,DynCorp,1970,1973
334,ExxonMobil,2016,present
335,BuzzFeed,1975,1990
335,ENEL,2002,2017
336,Danone,1990,1994
336,Biolife Grup,2013,2016
336,Amazon.com,2003,2010
337,,,
338,DynCorp,2006,present
338,Telekom,2005,2009
339,,,
340,Demaco,1977,1984
341,It Smart Group,1972,1987
341,Zepter,2019,present
342,,,
343,,,
344,UPC,1974,1989
344,Leadertech Consulting,1969,1973
344,CarMax,2005,2008
345,Amazon.com,2010,2017
346,Boeing,1968,1983
346,Carrefour,1969,1984
346,Vodafone,1986,1990
347,Carrefour,1975,1978
347,Vodafone,1994,2001
348,,,
349,,,
350,,,
351,,,
352,,,
353,CarMax,1997,2012
353,Team Guard SRL,1976,1979
354,DynCorp,1996,2003
355,Apple Inc.,1993,2008
355,Coca-Cola Company,2002,2017
356,Comcast,1965,1969
356,UPC,1971,1974
357,Global Print,1968,1975
357,Carrefour,1981,1996
357,BuzzFeed,1979,1994
358,,,
359,Biolife Grup,2019,present
360,Erickson,2017,present
360,UPC,2002,2017
361,,,
362,,,
363,Facebook,1971,1974
364,,,
365,Leadertech Consulting,2012,present
365,UPC,1961,1964
366,,,
367,,,
368,Mars,2014,present
368,BuzzFeed,1974,1978
368,It Smart Group,1982,1985
369,,,
370,,,
371,,,
372,BuzzFeed,2016,present
372,Demaco,1984,1987
373,,,
374,,,
375,Areon Impex,1963,1978
376,ExxonMobil,1984,1988
376,Team Guard SRL,2010,2013
376,BuzzFeed,1977,1984
377,,,
378,,,
379,Boeing,2001,2008
380,Zepter,1984,1999
381,Metro Cash&Carry,2020,present
382,Boeing,1999,2003
382,Apple Inc.,1965,1968
383,ExxonMobil,1975,1982
383,It Smart Group,2007,present
384,,,
385,,,
386,21st Century Fox,1985,1988
386,DynCorp,1965,1972
386,Demaco,1992,2007
387,Comodo,1996,2011
388,,,
389,Danone,1974,1977
390,,,
391,Carrefour,1965,1980
392,21st Century Fox,2015,2018
393,ENEL,1960,1967
393,AECOM,1997,2012
394,Demaco,2009,present
394,Facebook,1988,1992
395,Leadertech Consulting,1990,1993
396,,,
397,,,
398,Metro Cash&Carry,2001,2016
399,Coca-Cola Company,1974,1978
399,BuzzFeed,1998,2001
399,Metro Cash&Carry,1978,1985
400,,,
401,ENEL,1971,1986
401,Danone,2014,2018
401,Vodafone,2007,2010
402,Carrefour,1984,1991
403,Team Guard SRL,1979,1994
403,Biolife Grup,1977,1980
404,Coca-Cola Company,1986,1993
405,,,
406,Comcast,2015,present
406,Telekom,1963,1967
406,ENEL,2017,present
407,,,
408,,,
409,,,
410,It Smart Group,1986,1990
411,,,
412,,,
413,,,
414,,,
415,Telekom,1983,1987
416,,,
417,,,
418,,,
419,,,
420,Carrefour,2003,2010
420,ENEL,1964,1979
420,Mars,2002,2017
421,,,
422,Danone,1972,1975
422,UPC,1971,1978
422,Team Guard SRL,1985,2000
423,,,
424,,,
425,21st Century Fox,1966,1969
426,,,
427,,,
428,Boeing,2020,present
429,,,
430,Areon Impex,2011,2014
430,Metro Cash&Carry,1982,1989
431,,,
432,,,
433,Biolife Grup,1981,1988
434,ExxonMobil,2011,present
435,Amazon.com,1995,2010
436,ENEL,1966,1970
437,,,
438,Carrefour,1980,1987
438,Comcast,2013,present
438,Telekom,2019,present
439,UPC,2003,2007
439,Boeing,1966,1969
440,Boeing,1985,1992
441,CarMax,2005,present
442,,,
443,,,
444,,,
445,Metro Cash&Carry,1973,1980
445,21st Century Fox,2020,present
445,Demaco,2009,2012
446,Comodo,1987,1994
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,Areon Impex,2011,2018
457,Biolife Grup,1974,1989
457,ExxonMobil,1984,1999
457,Team Guard SRL,1974,1978
458,,,
459,Metro Cash&Carry,1965,1972
459,Telekom,1994,2009
460,Amazon.com,1984,1987
461,,,
462,Demaco,1967,1982
462,Apple Inc.,1982,1997
462,Comodo,1967,1971
463,Boeing,2006,2009
464,,,
465,Demaco,1983,1998
466,,,
467,,,
468,Carrefour,2013,2016
469,21st Century Fox,2018,present
470,,,
471,Mars,1992,2007
